dataset,experiment_family,statistical_group,method,baseline_method,metric,num_queries,baseline_mean,candidate_mean,mean_delta,candidate_ci95_low,candidate_ci95_high,delta_ci95_low,delta_ci95_high,num_harmed,num_improved,num_neutral,harm_rate,improvement_rate,neutral_rate,harm_severity,worst5_count,worst5_loss,delta_min,delta_median,delta_max,bootstrap_iterations,bootstrap_stratified_by_task,holm_family_id,p_raw,p_holm,source_delta,inferential_source_path,source_kind,family_definition,source_note,sign_flip_iterations,sign_flip_iterations_provenance,inferential_status,significant_holm_0.05,significant_positive_holm,significant_negative_holm
legalbench_mini,legalbench_dense_hybrid,hybrid_bge_filepath_chunk,hybrid_bge_filepath_chunk_dw0p5_deepseek_keyword,hybrid_bge_filepath_chunk_dw0p5_original,MRR@10,200,0.2483630952380952,0.2706587301587301,0.0222956349206349,0.222067361111111,0.3219094246031745,-0.0165687003968253,0.0635653769841269,45,51,104,0.225,0.255,0.52,-0.2952204585537919,10,-0.7,-1.0,0.0,1.0,10000,True,hybrid_bge_filepath_chunk,0.2975770242297577,1.0,0.0222956349206349,outputs/tables/legalbench/dense_hybrid/legalbench_dense_hybrid_summary_filepath_chunk_models-e5-bge_dw0p5.csv,wide_summary,All candidate-versus-baseline metric tests in group hybrid_bge_filepath_chunk.,,100000.0,verified_final_dense_hybrid_command,non_significant,False,False,False
legalbench_mini,legalbench_dense_hybrid,hybrid_bge_filepath_chunk,hybrid_bge_filepath_chunk_dw0p5_deepseek_keyword,hybrid_bge_filepath_chunk_dw0p5_original,Recall@10,200,0.3524136321195145,0.3608793183940243,0.0084656862745098,0.3072483718487395,0.4167310982726424,-0.0334509803921568,0.0505150735294117,30,37,133,0.15,0.185,0.665,-0.5177777777777778,10,-0.7916666666666667,-1.0,0.0,1.0,10000,True,hybrid_bge_filepath_chunk,0.7109828901710983,1.0,0.0084656862745098,outputs/tables/legalbench/dense_hybrid/legalbench_dense_hybrid_summary_filepath_chunk_models-e5-bge_dw0p5.csv,wide_summary,All candidate-versus-baseline metric tests in group hybrid_bge_filepath_chunk.,,100000.0,verified_final_dense_hybrid_command,non_significant,False,False,False
legalbench_mini,legalbench_dense_hybrid,hybrid_bge_filepath_chunk,hybrid_bge_filepath_chunk_dw0p5_deepseek_keyword,hybrid_bge_filepath_chunk_dw0p5_original,Recall@100,200,0.7343978758169933,0.7250238095238095,-0.0093740662931839,0.6766659722222224,0.7711944444444444,-0.0479778040382819,0.028269960901027,34,30,136,0.17,0.15,0.68,-0.4438958916900093,10,-0.6416666666666667,-1.0,0.0,1.0,10000,True,hybrid_bge_filepath_chunk,0.6341636583634164,1.0,-0.0093740662931839,outputs/tables/legalbench/dense_hybrid/legalbench_dense_hybrid_summary_filepath_chunk_models-e5-bge_dw0p5.csv,wide_summary,All candidate-versus-baseline metric tests in group hybrid_bge_filepath_chunk.,,100000.0,verified_final_dense_hybrid_command,non_significant,False,False,False
legalbench_mini,legalbench_dense_hybrid,hybrid_bge_filepath_chunk,hybrid_bge_filepath_chunk_dw0p5_deepseek_keyword,hybrid_bge_filepath_chunk_dw0p5_original,nDCG@10,200,0.2348364133057164,0.2614684321277249,0.0266320188220085,0.2186623541800464,0.3061739697681785,-0.0045330878932931,0.0584035944886652,48,63,89,0.24,0.315,0.445,-0.2244187971323974,10,-0.5000984342896619,-0.6437928128919779,0.0,1.0,10000,True,hybrid_bge_filepath_chunk,0.1075989240107598,1.0,0.0266320188220085,outputs/tables/legalbench/dense_hybrid/legalbench_dense_hybrid_summary_filepath_chunk_models-e5-bge_dw0p5.csv,wide_summary,All candidate-versus-baseline metric tests in group hybrid_bge_filepath_chunk.,,100000.0,verified_final_dense_hybrid_command,non_significant,False,False,False
legalbench_mini,legalbench_dense_hybrid,hybrid_bge_filepath_chunk,hybrid_bge_filepath_chunk_dw0p5_deepseek_legal,hybrid_bge_filepath_chunk_dw0p5_original,MRR@10,200,0.2483630952380952,0.2392678571428571,-0.009095238095238,0.1962094742063492,0.2839025297619048,-0.034307738095238,0.0155198412698412,41,35,124,0.205,0.175,0.62,-0.2131145954316685,10,-0.5607142857142857,-0.8571428571428572,0.0,0.75,10000,True,hybrid_bge_filepath_chunk,0.4808451915480845,1.0,-0.009095238095238,outputs/tables/legalbench/dense_hybrid/legalbench_dense_hybrid_summary_filepath_chunk_models-e5-bge_dw0p5.csv,wide_summary,All candidate-versus-baseline metric tests in group hybrid_bge_filepath_chunk.,,100000.0,verified_final_dense_hybrid_command,non_significant,False,False,False
legalbench_mini,legalbench_dense_hybrid,hybrid_bge_filepath_chunk,hybrid_bge_filepath_chunk_dw0p5_deepseek_legal,hybrid_bge_filepath_chunk_dw0p5_original,Recall@10,200,0.3524136321195145,0.3609206349206348,0.0085070028011204,0.3110342261904762,0.4129479166666666,-0.0296550070028011,0.047500175070028,26,28,146,0.13,0.14,0.73,-0.4532428355957767,10,-0.7,-1.0,0.0,1.0,10000,True,hybrid_bge_filepath_chunk,0.6676233237667624,1.0,0.0085070028011204,outputs/tables/legalbench/dense_hybrid/legalbench_dense_hybrid_summary_filepath_chunk_models-e5-bge_dw0p5.csv,wide_summary,All candidate-versus-baseline metric tests in group hybrid_bge_filepath_chunk.,,100000.0,verified_final_dense_hybrid_command,non_significant,False,False,False
legalbench_mini,legalbench_dense_hybrid,hybrid_bge_filepath_chunk,hybrid_bge_filepath_chunk_dw0p5_deepseek_legal,hybrid_bge_filepath_chunk_dw0p5_original,Recall@100,200,0.7343978758169933,0.7197073996265172,-0.0146904761904761,0.6698744747899159,0.7667639355742296,-0.0415088293650793,0.0107279761904761,19,15,166,0.095,0.075,0.83,-0.4449456975772765,10,-0.6233333333333334,-1.0,0.0,0.5,10000,True,hybrid_bge_filepath_chunk,0.2830071699283007,1.0,-0.0146904761904761,outputs/tables/legalbench/dense_hybrid/legalbench_dense_hybrid_summary_filepath_chunk_models-e5-bge_dw0p5.csv,wide_summary,All candidate-versus-baseline metric tests in group hybrid_bge_filepath_chunk.,,100000.0,verified_final_dense_hybrid_command,non_significant,False,False,False
legalbench_mini,legalbench_dense_hybrid,hybrid_bge_filepath_chunk,hybrid_bge_filepath_chunk_dw0p5_deepseek_legal,hybrid_bge_filepath_chunk_dw0p5_original,nDCG@10,200,0.2348364133057164,0.2331574853970707,-0.0016789279086456,0.1972568958771023,0.2702358899972424,-0.0220853997739608,0.0184775199721853,49,51,100,0.245,0.255,0.5,-0.1654850156675526,10,-0.4191786929132603,-0.6566256806396235,0.0,0.5430667908374095,10000,True,hybrid_bge_filepath_chunk,0.8731012689873101,1.0,-0.0016789279086456,outputs/tables/legalbench/dense_hybrid/legalbench_dense_hybrid_summary_filepath_chunk_models-e5-bge_dw0p5.csv,wide_summary,All candidate-versus-baseline metric tests in group hybrid_bge_filepath_chunk.,,100000.0,verified_final_dense_hybrid_command,non_significant,False,False,False
legalbench_mini,legalbench_dense_hybrid,hybrid_bge_filepath_chunk,hybrid_bge_filepath_chunk_dw0p5_gpt_hyde,hybrid_bge_filepath_chunk_dw0p5_original,MRR@10,200,0.2483630952380952,0.0552361111111111,-0.1931269841269841,0.0308739583333333,0.0815569444444444,-0.2382044642857143,-0.1481200892857142,100,10,90,0.5,0.05,0.45,-0.4241984126984127,10,-1.0,-1.0,-0.0416666666666666,0.75,10000,True,hybrid_bge_filepath_chunk,9.99990000099999e-06,0.0003199968000319,-0.1931269841269841,outputs/tables/legalbench/dense_hybrid/legalbench_dense_hybrid_summary_filepath_chunk_models-e5-bge_dw0p5.csv,wide_summary,All candidate-versus-baseline metric tests in group hybrid_bge_filepath_chunk.,,100000.0,verified_final_dense_hybrid_command,significant_negative,True,False,True
legalbench_mini,legalbench_dense_hybrid,hybrid_bge_filepath_chunk,hybrid_bge_filepath_chunk_dw0p5_gpt_hyde,hybrid_bge_filepath_chunk_dw0p5_original,Recall@10,200,0.3524136321195145,0.0481764705882352,-0.3042371615312791,0.0299455882352941,0.0681666666666666,-0.355528723155929,-0.2526339110644258,98,6,96,0.49,0.03,0.48,-0.6368885649497894,10,-1.0,-1.0,0.0,0.5,10000,True,hybrid_bge_filepath_chunk,9.99990000099999e-06,0.0003199968000319,-0.3042371615312791,outputs/tables/legalbench/dense_hybrid/legalbench_dense_hybrid_summary_filepath_chunk_models-e5-bge_dw0p5.csv,wide_summary,All candidate-versus-baseline metric tests in group hybrid_bge_filepath_chunk.,,100000.0,verified_final_dense_hybrid_command,significant_negative,True,False,True
